title,location,price,duration,description,main_image_url,extra_images_urls
Hampi Ruins,Karnataka,1500,4 Days/3 Nights,Ancient temples and boulder landscapes,https://images.unsplash.com/photo-1582510003544-4d00b7f74220,https://images.unsplash.com/photo-1609137144813-7d9921338f24|https://images.unsplash.com/photo-1570168007204-dfb528c6958f
Ooty Hill Station,Tamil Nadu,1450,3 Days/2 Nights,Nilgiri mountains and botanical gardens,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,https://images.unsplash.com/photo-1506905925346-21bda4d32df4|https://images.unsplash.com/photo-1587474260584-136574528ed5
Spiti Valley,Himachal,3800,9 Days/8 Nights,Remote mountain villages and monasteries,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b|https://images.unsplash.com/photo-1506905925346-21bda4d32df4
Khajuraho Temples,Madhya Pradesh,1250,2 Days/1 Night,Medieval temple architecture,https://images.unsplash.com/photo-1548013146-72479768bada,https://images.unsplash.com/photo-1548013146-72479768bada|https://images.unsplash.com/photo-1582719471137-c3967ffb1c42
Sundarbans Safari,West Bengal,2300,4 Days/3 Nights,Mangrove forests and Royal Bengal Tigers,https://images.unsplash.com/photo-1535268647677-300dbf3d78d1,https://images.unsplash.com/photo-1560424301-fefe174fbb6f|https://images.unsplash.com/photo-1484406566174-9da000fda645
Udaipur Lakes,Rajasthan,1650,3 Days/2 Nights,City of lakes and royal palaces,https://images.unsplash.com/photo-1599661046289-e31897846e41,https://images.unsplash.com/photo-1477587458883-47145ed94245|https://images.unsplash.com/photo-1599661046289-e31897846e41
Konark Sun Temple,Odisha,1100,2 Days/1 Night,Ancient sun temple and beach,https://images.unsplash.com/photo-1582719471137-c3967ffb1c42,https://images.unsplash.com/photo-1585159812596-fac104f2f069|https://images.unsplash.com/photo-1609137144813-7d9921338f24
Ajanta Caves,Maharashtra,1350,3 Days/2 Nights,Buddhist rock-cut cave paintings,https://images.unsplash.com/photo-1582719471137-c3967ffb1c42,https://images.unsplash.com/photo-1582719471137-c3967ffb1c42|https://images.unsplash.com/photo-1548013146-72479768bada
Kaziranga Safari,Assam,2800,5 Days/4 Nights,One-horned rhinos and wildlife,https://images.unsplash.com/photo-1516426122078-c23e76319801,https://images.unsplash.com/photo-1564760055775-d63b17a55c44|https://images.unsplash.com/photo-1535268647677-300dbf3d78d1
Amritsar Heritage,Punjab,1300,2 Days/1 Night,Golden Temple and Wagah border,https://images.unsplash.com/photo-1582719471137-c3967ffb1c42,https://images.unsplash.com/photo-1609137144813-7d9921338f24|https://images.unsplash.com/photo-1585159812596-fac104f2f069
Pondicherry French,Pondicherry,1400,3 Days/2 Nights,French colonial architecture and beaches,https://images.unsplash.com/photo-1582719471137-c3967ffb1c42,https://images.unsplash.com/photo-1507525428034-b723cf961d3e|https://images.unsplash.com/photo-1519046904884-53103b34b206
Shimla Colonial,Himachal,1550,4 Days/3 Nights,Colonial architecture and mall road,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,https://images.unsplash.com/photo-1506905925346-21bda4d32df4|https://images.unsplash.com/photo-1587474260584-136574528ed5
Gir Forest,Gujarat,2600,4 Days/3 Nights,Asiatic lions and wildlife safari,https://images.unsplash.com/photo-1516426122078-c23e76319801,https://images.unsplash.com/photo-1535268647677-300dbf3d78d1|https://images.unsplash.com/photo-1564760055775-d63b17a55c44
Mahabalipuram Shore,Tamil Nadu,1200,2 Days/1 Night,Shore temples and rock sculptures,https://images.unsplash.com/photo-1582719471137-c3967ffb1c42,https://images.unsplash.com/photo-1507525428034-b723cf961d3e|https://images.unsplash.com/photo-1585159812596-fac104f2f069
Nainital Lakes,Uttarakhand,1600,3 Days/2 Nights,Himalayan lake town and boating,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,https://images.unsplash.com/photo-1506905925346-21bda4d32df4|https://images.unsplash.com/photo-1587474260584-136574528ed5
Pushkar Camel Fair,Rajasthan,1550,3 Days/2 Nights,Holy lake and camel trading fair,https://images.unsplash.com/photo-1524492412937-b28074a5d7da,https://images.unsplash.com/photo-1609137144813-7d9921338f24|https://images.unsplash.com/photo-1547036967-23d11aacaee0
Meghalaya Living Roots,Meghalaya,2700,6 Days/5 Nights,Living root bridges and waterfalls,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,https://images.unsplash.com/photo-1511497584788-876760111969|https://images.unsplash.com/photo-1501785888041-af3ef285b470
Alleppey Backwaters,Kerala,1800,3 Days/2 Nights,Houseboat stay and village life,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944,https://images.unsplash.com/photo-1593693397690-362cb9666fc2|https://images.unsplash.com/photo-1588409994805-89e8c6971eff
Mount Abu,Rajasthan,1400,3 Days/2 Nights,Hill station and Dilwara temples,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,https://images.unsplash.com/photo-1582719471137-c3967ffb1c42|https://images.unsplash.com/photo-1587474260584-136574528ed5
Chandigarh Modern,Chandigarh,1100,2 Days/1 Night,Planned city and rock garden,https://images.unsplash.com/photo-1582719471137-c3967ffb1c42,https://images.unsplash.com/photo-1477587458883-47145ed94245|https://images.unsplash.com/photo-1609137144813-7d9921338f24
Jodhpur Blue City,Rajasthan,1500,3 Days/2 Nights,Mehrangarh fort and blue houses,https://images.unsplash.com/photo-1477587458883-47145ed94245,https://images.unsplash.com/photo-1599661046289-e31897846e41|https://images.unsplash.com/photo-1570168007204-dfb528c6958f
Tirupati Temple,Andhra Pradesh,1000,2 Days/1 Night,Ancient Venkateswara temple pilgrimage,https://images.unsplash.com/photo-1582719471137-c3967ffb1c42,https://images.unsplash.com/photo-1609137144813-7d9921338f24|https://images.unsplash.com/photo-1585159812596-fac104f2f069
Lonavala Caves,Maharashtra,1250,2 Days/1 Night,Hill station and Buddhist caves,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,https://images.unsplash.com/photo-1582719471137-c3967ffb1c42|https://images.unsplash.com/photo-1511497584788-876760111969
Gangtok Sikkim,Sikkim,2100,5 Days/4 Nights,Himalayan capital and monasteries,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,https://images.unsplash.com/photo-1506905925346-21bda4d32df4|https://images.unsplash.com/photo-1464822759023-fed622ff2c3b
Wayanad Wildlife,Kerala,1850,4 Days/3 Nights,Wildlife sanctuary and spice plantations,https://images.unsplash.com/photo-1516426122078-c23e76319801,https://images.unsplash.com/photo-1535268647677-300dbf3d78d1|https://images.unsplash.com/photo-1564760055775-d63b17a55c44
Kolkata Heritage,West Bengal,1300,3 Days/2 Nights,Colonial architecture and cultural hub,https://images.unsplash.com/photo-1582719471137-c3967ffb1c42,https://images.unsplash.com/photo-1477587458883-47145ed94245|https://images.unsplash.com/photo-1599661046289-e31897846e41
Puri Beach Temple,Odisha,1350,3 Days/2 Nights,Jagannath temple and golden beach,https://images.unsplash.com/photo-1582719471137-c3967ffb1c42,https://images.unsplash.com/photo-1507525428034-b723cf961d3e|https://images.unsplash.com/photo-1519046904884-53103b34b206
Tarkarli Beach,Maharashtra,1600,3 Days/2 Nights,Pristine beaches and water sports,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,https://images.unsplash.com/photo-1493558103817-58b2924bce98|https://images.unsplash.com/photo-1519046904884-53103b34b206
Auli Skiing,Uttarakhand,2400,5 Days/4 Nights,Snow slopes and Himalayan views,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,https://images.unsplash.com/photo-1551582045-6ec9c11d8697|https://images.unsplash.com/photo-1464822759023-fed622ff2c3b
Kochi Fort,Kerala,1400,3 Days/2 Nights,Chinese fishing nets and spice markets,https://images.unsplash.com/photo-1582719471137-c3967ffb1c42,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944|https://images.unsplash.com/photo-1593693397690-362cb9666fc2
Agatti Island,Lakshadweep,4200,7 Days/6 Nights,Coral islands and lagoon paradise,https://images.unsplash.com/photo-1559827260-dc66d52bef19,https://images.unsplash.com/photo-1505142468610-359e7d316be0|https://images.unsplash.com/photo-1544551763-46a013bb70d5
Mandu Fort,Madhya Pradesh,1200,2 Days/1 Night,Afghan architecture and ruins,https://images.unsplash.com/photo-1582719471137-c3967ffb1c42,https://images.unsplash.com/photo-1477587458883-47145ed94245|https://images.unsplash.com/photo-1548013146-72479768bada
Tawang Monastery,Arunachal Pradesh,3200,7 Days/6 Nights,Buddhist monastery and mountain pass,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,https://images.unsplash.com/photo-1582719471137-c3967ffb1c42|https://images.unsplash.com/photo-1626621341517-bbf3d9990a23
Varkala Cliffs,Kerala,1550,3 Days/2 Nights,Cliff beaches and mineral springs,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,https://images.unsplash.com/photo-1493558103817-58b2924bce98|https://images.unsplash.com/photo-1519046904884-53103b34b206
